category,description
covid,"If I smelled the scent of hand sanitizers today on someone in the past, I would think they were so intoxicated thatƒ?? https://t.co/QZvYbrOgb0"
covid,Hey @Yankees @YankeesPR and @MLB - wouldn't it have made more sense to have the players pay their respects to the Aƒ?? https://t.co/1QvW0zgyPu
covid,@diane3443 @wdunlap @realDonaldTrump Trump never once claimed #COVID19 was a hoax. We all claim that this effort toƒ?? https://t.co/Jkk8vHWHb3
covid,@brookbanktv The one gift #COVID19 has give me is an appreciation for the simple things that were always around meƒ?? https://t.co/Z0pOAlFXcW
covid,25 July : Media Bulletin on Novel #CoronaVirusUpdates #COVID19  @kansalrohit69 @DrSyedSehrish @airnewsalerts @ANIƒ?? https://t.co/MN0EEcsJHh
covid,#coronavirus #covid19 deaths continue to rise. It's almost  as bad as it ever was.  Politicians and businesses wantƒ?? https://t.co/hXMHooXX2C
covid,"How #COVID19 Will Change Work in General (and recruiting, specifically) via/ @ProactiveTalent #Recruitingƒ?? https://t.co/bjZxzGPMbK"
covid,You now have to wear face coverings when out shopping - this includes a visit to your local Community Pharmacyƒ?? https://t.co/OSu5Q4kdd7
covid,Praying for good health and recovery of @ChouhanShivraj . #covid19 #covidPositive
covid,POPE AS GOD - Prophet Sadhu Sundar Selvaraj. Watch here at https://t.co/7X5RTyKVji   #HurricaneHanna #COVID19ƒ?? https://t.co/06dZcGUnwL
covid,49K+ Covid19 cases still no response from  @cbseindia29 @HRDMinistry @DrRPNishank.Please cancel the compartment exaƒ?? https://t.co/kV2ZKmumu1
covid,Order here: https://t.co/4NUrGX6EmA  #logo #graphicdesigner #logodesign #logodesinger #icon  #minimalist #Abstractƒ?? https://t.co/0yPMoGqi9s
covid,??????¯@PattyHajdu @NavdeepSBains ƒ?? no one will be safe from #COVID19 until everyone is safe. Will you commit to ensureƒ?? https://t.co/aWCJo6eKvC
covid,Let's all protect ourselves from #COVID19. It's real and the numbers are climbing up fast in the Continent. Let's nƒ?? https://t.co/byMSfxltrw
covid,Rajasthan Government today started a Plasma Bank at Sawai Man Singh Hospital in Jaipur for treatment of COVID-19 paƒ?? https://t.co/cwfCcWyaDA
covid,Nagaland police on Covid-19 Awareness at City Tower Junction Dimapur.  #Covid19 #keepsocialdistanceƒ?? https://t.co/WOvFMqhuEO
covid,July 25 #COVID19 update #TamilNadu - 6988 Discharge- 7758 People tested - 61729 Actice cases - 52273 #chennai - 1329
covid,Second wave of #COVID19 in Flanders..back to more #homework again... https://t.co/9swImZACMN
covid,It is during our darkest moments that we must focus to see the #light.~Aristotle  https://t.co/YLlS4Kj85cƒ?? https://t.co/tFJB7l1Kaw
covid,COVID Update: The infection rate in Florida is following the natural curve that experts predicted if the initial cuƒ?? https://t.co/hmEwE747WK
