category,description
covid,"#Kerala Private hospitals #covid treatment rates in ü?? General Ward 2300 HDU 3300 ICU 6500 ICU ventilator 11,500 Inü?? https://t.co/NWgix2xAUj"
covid,"Due to the epidemic I'm giving $80 - $1000 to any person out there looking, it might not be able to go round but iü?? https://t.co/BfX03CbW6F"
covid,@JoeBiden What fight is the creepy and delusional basement dweller referring to? The only battle is keepingü?? https://t.co/gD8rzRpSc5
covid,395 new cases and 3 new deaths in Uzbekistan   [13:22 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic
covid,"#BIGNEWS: #Rajasthan Governor Kalraj Mishra appeals to all #COVID19 recovered patients to donate their plasma, saysü?? https://t.co/oNsDHDdaYG"
covid,"ü??Until the day we have a medical vaccine, food is the best vaccine against chaos.ü?  - @WFPChief David Beasley.   Amü?? https://t.co/pEYhGxDRPN"
covid,In Nigeria hapless and unfortunate citizens are taxed ever increasing tariffs for these things. Even without lettinü?? https://t.co/860upMqDYV
covid,Your friendly weekend reminder that COVID didnü??t go away because you got bored.   #wearamask #covid #covid19ü?? https://t.co/5Xjoivu9Ze
covid,Local TV stations owned by Sinclair Broadcast Group are set to air discredited Plandemic researcher's conspiracy thü?? https://t.co/RBoQTSdsns
covid,Photos: #UAE hospital launches support group for #Covid19 patients https://t.co/wLnFggHSQL
covid,@Intuitive1966 Yes but  ü??weü??re learning more about #COVID19 every dayü? &amp;  ü??weü??re listening to the scienceü?.ü?? https://t.co/aJW17HoIu8
covid,Alhamdulillah ü??? Coronavirus: No deaths reported for 48 hours in Qatar. ?????????  #Qatar #COVID19 #Coronavirusü?? https://t.co/29PAfpdt5x
covid,PRANIK'S Giloy Capsules gives you far-reaching benefits to fight against the infections and boost your immunity.ü?? https://t.co/JlZXHZT1A1
covid,"#COVID19: 5,690 RTPCR/CBNAAT/TrueNat tests and 14,819 Rapid antigen tests conducted today. A total of 9,29,244 testü?? https://t.co/LtdrWlVZiX"
covid,@RepMattGaetz @realDonaldTrump @GaetzTakes How much will dead and  #COVID19 sufferers spend?
